CELL_Line,Tissue_name
ACH-001239,skin
ACH-001270,soft_tissue
ACH-001274,soft_tissue
ACH-001275,soft_tissue
ACH-001277,soft_tissue
ACH-001278,ovary
ACH-001279,ovary
ACH-001280,soft_tissue
ACH-001283,bone
ACH-001289,soft_tissue
ACH-001295,eye
ACH-001300,peripheral_nervous_system
ACH-001301,peripheral_nervous_system
ACH-001302,peripheral_nervous_system
ACH-001303,peripheral_nervous_system
ACH-001306,thyroid
ACH-001307,thyroid
ACH-001310,kidney
ACH-001316,kidney
ACH-001318,liver
ACH-001321,thyroid
ACH-001322,soft_tissue
ACH-001328,skin
ACH-001329,central_nervous_system
ACH-001332,upper_aerodigestive
ACH-001333,cervix
ACH-001334,cervix
ACH-001335,cervix
ACH-001336,cervix
ACH-001340,ovary
ACH-001341,cervix
ACH-001344,peripheral_nervous_system
ACH-001345,colorectal
ACH-001346,upper_aerodigestive
ACH-001353,pancreas
ACH-001354,peripheral_nervous_system
ACH-001356,thyroid
ACH-001360,cervix
ACH-001366,peripheral_nervous_system
ACH-001367,peripheral_nervous_system
ACH-001368,esophagus
ACH-001369,ovary
ACH-001373,ovary
ACH-001374,ovary
ACH-001375,pancreas
ACH-001376,pancreas
ACH-001377,pancreas
ACH-001378,pancreas
ACH-001379,pancreas
ACH-001380,pancreas
ACH-001382,pancreas
ACH-001386,lung
ACH-001390,breast
ACH-001391,breast
ACH-001392,breast
ACH-001394,breast
ACH-001396,breast
ACH-001399,colorectal
ACH-001400,cervix
ACH-001401,adrenal_cortex
ACH-001402,cervix
ACH-001403,ovary
ACH-001407,urinary_tract
ACH-001408,urinary_tract
ACH-001409,urinary_tract
ACH-001410,urinary_tract
ACH-001411,urinary_tract
ACH-001412,urinary_tract
ACH-001413,urinary_tract
ACH-001414,urinary_tract
ACH-001415,urinary_tract
ACH-001416,urinary_tract
ACH-001418,ovary
ACH-001421,eye
ACH-001430,bone
ACH-001431,bone
ACH-001433,soft_tissue
ACH-001442,cervix
ACH-001443,thyroid
ACH-001450,lymphocyte
ACH-001451,cervix
ACH-001454,colorectal
ACH-001456,colorectal
ACH-001458,colorectal
ACH-001459,colorectal
ACH-001460,colorectal
ACH-001461,colorectal
ACH-001484,blood
ACH-001485,blood
ACH-001494,bile_duct
ACH-001495,uterus
ACH-001496,esophagus
ACH-001497,esophagus
ACH-001498,lymphocyte
ACH-001500,esophagus
ACH-001509,upper_aerodigestive
ACH-001510,upper_aerodigestive
ACH-001511,upper_aerodigestive
ACH-001513,cervix
ACH-001515,cervix
ACH-001517,uterus
ACH-001520,blood
ACH-001521,skin
ACH-001522,skin
